isbn,title,authors,description,subjects,text,wiki_description
0446605239,The Notebook (The Notebook #1),Nicholas Sparks,,"Man-woman relationships, fiction, Oral reading, Older people, Ancianos, Novela, Relaciones hombre-mujer, Open Library Staff Picks, American fiction, Aged, Love stories, Oral reading -- Fiction, Older people -- Fiction, North Carolina -- Fiction, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Fiction, romance, historical, North Carolina, fiction, Large type books, Romance fiction, Kärlek, Skönlitteratur, -- North Carolina -- Fiction, Fiction, romance, general, Romance, --north carolina--fiction, Oral reading--fiction, Older people--fiction, Ps3569.p363 n68 2004, 813.54","The Notebook (The Notebook #1) Nicholas Sparks Man-woman relationships, fiction, Oral reading, Older people, Ancianos, Novela, Relaciones hombre-mujer, Open Library Staff Picks, American fiction, Aged, Love stories, Oral reading -- Fiction, Older people -- Fiction, North Carolina -- Fiction, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Fiction, romance, historical, North Carolina, fiction, Large type books, Romance fiction, Kärlek, Skönlitteratur, -- North Carolina -- Fiction, Fiction, romance, general, Romance, --north carolina--fiction, Oral reading--fiction, Older people--fiction, Ps3569.p363 n68 2004, 813.54",
0446608823,Freezer burn,Joe R. Lansdale,,"Fugitives from justice, Fiction, Fiction, thrillers, suspense, Fiction, psychological","Freezer burn Joe R. Lansdale Fugitives from justice, Fiction, Fiction, thrillers, suspense, Fiction, psychological","Freezer burn is a condition that occurs when frozen food has been damaged by dehydration and oxidation due to air reaching the food. It is generally caused by food not being securely wrapped in air-tight packaging.
Freezer burn appears as grayish-brown leathery spots on frozen food and occurs when air reaches the food's surface and dries the product."
0446608955,A Walk to Remember,Nicholas Sparks,,"Teenagers, Fiction, Fiction, romance, contemporary, North carolina, fiction, Children of clergy, Teenage boys, Leukemia, Enfants d'ecclésiastiques, Romans, nouvelles, Garçons adolescents, Love stories","A Walk to Remember Nicholas Sparks Teenagers, Fiction, Fiction, romance, contemporary, North carolina, fiction, Children of clergy, Teenage boys, Leukemia, Enfants d'ecclésiastiques, Romans, nouvelles, Garçons adolescents, Love stories","A Walk to Remember is a 2002 American coming-of-age romantic drama film directed by Adam Shankman and written by Karen Janszen, based on Nicholas Sparks' 1999 novel of the same name. It stars Shane West, Mandy Moore, Peter Coyote and Daryl Hannah, and was produced by Denise Di Novi and Hunt Lowry for Warner Bros. Pictures."
0446672211,Where the heart is,"Billie Letts, Billie Letts",,"Fiction, Friendship, Love stories, Pregnant schoolgirls, Teenage girls, Teenage mothers, Teenage pregnancy, Oprah's book club, Pregnant teenagers, Bildungsromans, Teenagers, Large type books, New York Times reviewed, Fiction, general, Oklahoma, fiction","Where the heart is Billie Letts, Billie Letts Fiction, Friendship, Love stories, Pregnant schoolgirls, Teenage girls, Teenage mothers, Teenage pregnancy, Oprah's book club, Pregnant teenagers, Bildungsromans, Teenagers, Large type books, New York Times reviewed, Fiction, general, Oklahoma, fiction",
044920216X,LADY SCANDAL,Rebecca Baldwin,,,LADY SCANDAL Rebecca Baldwin,
0449234606,The Moving Dream,Elizabeth Renier,,,The Moving Dream Elizabeth Renier,
0451518829,Sons and Lovers (Signet Classics),D. H. Lawrence,,"Fiction, England in fiction, Working class families, Young men in fiction, Working class families in fiction, Young men, Facsimiles, Social life and customs, England, Manuscripts, English Manuscripts, Coal mines and mining, Domestic fiction, Coal mines and mining in fiction, Customs and Manners, Classic Literature, Mothers and sons, Married women, Possessiveness, Coal miners, open_syllabus_project, Working class families -- Fiction, Young men -- Fiction, England -- Fiction, British and irish fiction (fictional works by one author), England, fiction, Fiction, family life, Fiction, coming of age, Fiction, biographical, Large type books, Fiction, family life, general, Lawrence, d. h. (david herbert), 1885-1930, Families, Fiction, fantasy, general, Fiction, erotica, general, Autobiographical fiction, Bildungsromans, Long Now Manual for Civilization, Family","Sons and Lovers (Signet Classics) D. H. Lawrence Fiction, England in fiction, Working class families, Young men in fiction, Working class families in fiction, Young men, Facsimiles, Social life and customs, England, Manuscripts, English Manuscripts, Coal mines and mining, Domestic fiction, Coal mines and mining in fiction, Customs and Manners, Classic Literature, Mothers and sons, Married women, Possessiveness, Coal miners, open_syllabus_project, Working class families -- Fiction, Young men -- Fiction, England -- Fiction, British and irish fiction (fictional works by one author), England, fiction, Fiction, family life, Fiction, coming of age, Fiction, biographical, Large type books, Fiction, family life, general, Lawrence, d. h. (david herbert), 1885-1930, Families, Fiction, fantasy, general, Fiction, erotica, general, Autobiographical fiction, Bildungsromans, Long Now Manual for Civilization, Family",
0486278166,The little mermaid and other fairy tales,Hans Christian Andersen,,"Children's stories, Danish, Fairy tales, Short stories, Translations into English, Children's fiction","The little mermaid and other fairy tales Hans Christian Andersen Children's stories, Danish, Fairy tales, Short stories, Translations into English, Children's fiction",
0515131229,Dance Upon the Air,Nora Roberts,,"Islas, Brujas, Novela oculta, Mujeres, Abused wives, Massachusetts in fiction, Abused wives in fiction, Women in fiction, Fiction, Open Library Staff Picks, Witches, Ficción, Witches in fiction, Islands, Islands in fiction, Women, Love stories, American, Witches -- Fiction, Abused wives -- Massachusetts -- Fiction, Massachusetts -- Fiction, Abused wives -- Fiction, Secrets, FICTION / Romance / General, Esposas maltratadas, Fiction, romance, paranormal, New england, fiction, Fiction, occult & supernatural, Fiction, romance, paranormal, general, Fiction, romance, general, Massachusetts, fiction","Dance Upon the Air Nora Roberts Islas, Brujas, Novela oculta, Mujeres, Abused wives, Massachusetts in fiction, Abused wives in fiction, Women in fiction, Fiction, Open Library Staff Picks, Witches, Ficción, Witches in fiction, Islands, Islands in fiction, Women, Love stories, American, Witches -- Fiction, Abused wives -- Massachusetts -- Fiction, Massachusetts -- Fiction, Abused wives -- Fiction, Secrets, FICTION / Romance / General, Esposas maltratadas, Fiction, romance, paranormal, New england, fiction, Fiction, occult & supernatural, Fiction, romance, paranormal, general, Fiction, romance, general, Massachusetts, fiction",
0553268880,The Prince of Tides,Pat Conroy,,"Fiction, Brothers and sisters, Social life and customs, Twins, Family life, Fiction, family life, South carolina, fiction, New york (n.y.), fiction, Brothers and sisters, fiction, Large type books, Domestic fiction, Juvenile fiction, Fiction, family life, general, Siblings, fiction","The Prince of Tides Pat Conroy Fiction, Brothers and sisters, Social life and customs, Twins, Family life, Fiction, family life, South carolina, fiction, New york (n.y.), fiction, Brothers and sisters, fiction, Large type books, Domestic fiction, Juvenile fiction, Fiction, family life, general, Siblings, fiction","The Prince of Tides is a 1991 American romantic drama film directed and co-produced by Barbra Streisand, from a screenplay written by Pat Conroy and Becky Johnston, based on Conroy's 1986 novel. It stars Streisand and Nick Nolte. It tells the story of the narrator's struggle to overcome the psychological damage inflicted by his dysfunctional childhood in South Carolina."
0553561375,The jewels of Tessa Kent,Judith Krantz,,"Mothers and daughters, Fiction, Out she was her mother she broke all ties, A Mothers secret and a daughters fury. Maggie Kent grew up thinking Tessa was her sister and when she accidently found, Fiction, general, Mothers and daughters, fiction, Actresses, fiction","The jewels of Tessa Kent Judith Krantz Mothers and daughters, Fiction, Out she was her mother she broke all ties, A Mothers secret and a daughters fury. Maggie Kent grew up thinking Tessa was her sister and when she accidently found, Fiction, general, Mothers and daughters, fiction, Actresses, fiction",
0671656236,The Man Who Sold the Moon,Robert A. Heinlein,,"American Science fiction, Fiction, science fiction, general, Français (langue), Lectures et morceaux choisis, Science-fiction, Roman, Long Now Manual for Civilization","The Man Who Sold the Moon Robert A. Heinlein American Science fiction, Fiction, science fiction, general, Français (langue), Lectures et morceaux choisis, Science-fiction, Roman, Long Now Manual for Civilization","The Man Who Sold the Moon is a science fiction novella by American author Robert A. Heinlein,  written in 1949 and published in 1950. A part of his Future History and prequel to ""Requiem"", it covers events around a fictional first Moon landing in 1978 and the schemes of Delos D. Harriman, a businessman who is determined to personally reach and control the Moon."
068746384X,"World, world, what can I do?",Barbara Shook Hazen,,"Stories in rhyme, Conservation of natural resources, Environmental protection, Fiction, Poetry, Children's fiction, Conservation of natural resources, fiction, Environmental protection, fiction","World, world, what can I do? Barbara Shook Hazen Stories in rhyme, Conservation of natural resources, Environmental protection, Fiction, Poetry, Children's fiction, Conservation of natural resources, fiction, Environmental protection, fiction",
080410526X,All I really need to know I learned in kindergarten,Robert Fulghum,,Life,All I really need to know I learned in kindergarten Robert Fulghum Life,
0865054371,Pioneer projects,Bobbie Kalman,,"Activity programs, Frontier and pioneer life, Handicraft, Social life and customs, Study and teaching, Ouvrages pour la jeunesse, Artisanat, Vie des pionniers, Frontier and pioneer life, juvenile literature","Pioneer projects Bobbie Kalman Activity programs, Frontier and pioneer life, Handicraft, Social life and customs, Study and teaching, Ouvrages pour la jeunesse, Artisanat, Vie des pionniers, Frontier and pioneer life, juvenile literature",
1559029838,Wuthering Heights,Emily Brontë,,"British and irish fiction (fictional works by one author), Children's fiction, Classic fiction, Classic Literature, Country homes, Country life, Cousins, Death, Drama, English language, English language readers, English literature, Examinations, Families, family life, Fiction, Foundlings, Historical Fiction, Inheritance and succession, Interpersonal relations, Juvenile fiction, Landscape in literature, love, Manners and customs, orphans, Psychological fiction, Reading Level-Grade 7, Reading Level-Grade 8, Reading Level-Grade 9, Reading Level-Grade 10, Reading Level-Grade 11, Reading Level-Grade 12, Rejection (Psychology), revenge, romance, Romance fiction, romantic fiction, Rural families, slavery, Social life and customs, tragedy, Triangles (Interpersonal relations), Young women, Fiction, general, Revenge -- Fiction, Rejection (Psychology) -- Fiction, Love stories, Domestic fiction, Yorkshire (England) -- Fiction, Foundlings -- Fiction, Rural families -- Fiction, Heathcliff (Fictitious character : Brontë) -- Fiction, Triangles (Interpersonal relations) -- Fiction, Heathcliff (fictitious character), fiction, Fiction, family life, general, Fiction, psychological, Fiction, romance, general, Man-woman relationships, fiction, England, fiction, Triangle (Relations humaines), Romans, nouvelles, Rejet (Psychologie), Familles rurales, Enfants trouvés, Wuthering Heights (Brontë, Emily), Vengeance, English fiction, Triangles (Interpersonal relationships), Yorkshire (England), Roman anglais, Relations entre hommes et femmes, Mœurs et coutumes, Women, Femmes, Heathcliff (Fictitious character), Catherine Earnshawm (Fictitious character), English Gothic fiction, Adaptations, Social conditions, Interpersonal relations, fiction, Roman, Englisch, Wuthering heights (Emily Brontë), Comics & graphic novels, romance, Love, fiction, Comic books, strips, etc., Comics & graphic novels, literary, Literature, collections, American fiction, Foundlings in fiction, Rural families in fiction, England in fiction, Revenge in fiction, Landscape in literature in fiction, Slavery in fiction, Reading books, Country life in fiction, Readers, Orphans in fiction, Study and teaching, Love in fiction, Readers (Adult), Study guides, Zhang pian xiao shuo, Heathcliff (Fictitious character : Brontë), Social conflict, Triangles (interpersonal relations)--fiction, Revenge--fiction, Pr4172 .w7 2009c, 823/.8, Hl 2083, Bronte, emily, 1818-1848, Long Now Manual for Civilization, Man-woman relationships, Beuve de Hanstone (Legendary character)","Wuthering Heights Emily Brontë British and irish fiction (fictional works by one author), Children's fiction, Classic fiction, Classic Literature, Country homes, Country life, Cousins, Death, Drama, English language, English language readers, English literature, Examinations, Families, family life, Fiction, Foundlings, Historical Fiction, Inheritance and succession, Interpersonal relations, Juvenile fiction, Landscape in literature, love, Manners and customs, orphans, Psychological fiction, Reading Level-Grade 7, Reading Level-Grade 8, Reading Level-Grade 9, Reading Level-Grade 10, Reading Level-Grade 11, Reading Level-Grade 12, Rejection (Psychology), revenge, romance, Romance fiction, romantic fiction, Rural families, slavery, Social life and customs, tragedy, Triangles (Interpersonal relations), Young women, Fiction, general, Revenge -- Fiction, Rejection (Psychology) -- Fiction, Love stories, Domestic fiction, Yorkshire (England) -- Fiction, Foundlings -- Fiction, Rural families -- Fiction, Heathcliff (Fictitious character : Brontë) -- Fiction, Triangles (Interpersonal relations) -- Fiction, Heathcliff (fictitious character), fiction, Fiction, family life, general, Fiction, psychological, Fiction, romance, general, Man-woman relationships, fiction, England, fiction, Triangle (Relations humaines), Romans, nouvelles, Rejet (Psychologie), Familles rurales, Enfants trouvés, Wuthering Heights (Brontë, Emily), Vengeance, English fiction, Triangles (Interpersonal relationships), Yorkshire (England), Roman anglais, Relations entre hommes et femmes, Mœurs et coutumes, Women, Femmes, Heathcliff (Fictitious character), Catherine Earnshawm (Fictitious character), English Gothic fiction, Adaptations, Social conditions, Interpersonal relations, fiction, Roman, Englisch, Wuthering heights (Emily Brontë), Comics & graphic novels, romance, Love, fiction, Comic books, strips, etc., Comics & graphic novels, literary, Literature, collections, American fiction, Foundlings in fiction, Rural families in fiction, England in fiction, Revenge in fiction, Landscape in literature in fiction, Slavery in fiction, Reading books, Country life in fiction, Readers, Orphans in fiction, Study and teaching, Love in fiction, Readers (Adult), Study guides, Zhang pian xiao shuo, Heathcliff (Fictitious character : Brontë), Social conflict, Triangles (interpersonal relations)--fiction, Revenge--fiction, Pr4172 .w7 2009c, 823/.8, Hl 2083, Bronte, emily, 1818-1848, Long Now Manual for Civilization, Man-woman relationships, Beuve de Hanstone (Legendary character)","Wuthering Heights is the only novel by the English author Emily Brontë, initially published in 1847 under her pen name ""Ellis Bell"". It concerns two families of the landed gentry living on the West Yorkshire moors, the Earnshaws and the Lintons, and their turbulent relationships with the Earnshaws' foster son, Heathcliff. The novel, influenced by Romanticism and Gothic fiction, is considered a classic of English literature."
